abbr,LongName,cases_per_100K,case_date,vax_date,Census2019,Series_Complete_Pop_Pct,any_mandate_in_place,description_of_mandate,statewide_face_mask_requirement,emergency_declaration,status_of_reopening,state_abbv
AK,Alaska,197,2022-04-07,2022-04-07,731545,61.8,No,NA,No,No,Reopened,AK
AL,Alabama,26.3,2022-04-07,2022-04-07,4903185,50.8,Prohibited,"State and local governments are prohibited from requiring immunization as a condition of receiving government services or entering a government building. Institutions of education may only require students to prove vaccination status for vaccines that were already required as of January 1, 2021. Private businesses may not refuse to serve a customer based on the customers immunization status.",No,Yes,Reopened,AL
AR,Arkansas,18.7,2022-04-07,2022-04-07,3017804,54.1,Prohibited,"State and local governments are prohibited from mandating COVID-19 vaccination. Vaccination cannot be required as a condition of employment, except in the case of state-owned medical facilities.",No,No,Reopened,AR
AZ,Arizona,94,2022-04-07,2022-04-07,7278717,61.1,Prohibited,State and local governments are prohibited from requiring any person to be vaccinated for COVID-19. State and local governments are also prohibited from establishing a vaccine passport.,No,Yes,Reopened,AZ
CA,California,51.5,2022-04-07,2022-04-07,39512223,71.2,Yes,"State employees must be vaccinated against COVID-19 or undergo mandatory COVID-19 testing effective 8/2/2021. 
Employees of healthcare facilities must be vaccinated against COVID-19 effective 9/30/2021. 
School employees must be vaccinated against COVID-19 or undergo regular COVID-19 testing effective 10/15/2021. 
Participants at indoor events larger than 1,000 must present proof of vaccination or a negative test within 72 hours  of the event effective 9/20/21",Unvaccinated People Only,Yes,Reopened,CA
CO,Colorado,40.9,2022-04-07,2022-04-07,5758736,69.9,Yes,"All unvaccinated state employees will be subject to regular testing effective 9/20/2021. Employees of the Departments of Corrections, Human Services,  and Public Health and Environment will be required to be vaccinated or face termination. Colorado Board of Health mandated that all employees, direct contractors, and support staff (covered employees) in licensed healthcare settings in Colorado receive their first dose of the COVID-19 vaccine by September 30, 2021 and be fully vaccinated no later than October 31.",No,No,Reopened,CO
CT,Connecticut,96,2022-04-07,2022-04-07,3565287,78.6,Yes,"Employees at long-term care facilities must be vaccinated or subject to weekly testing. Facilities that do not comply will be fined a $20,000 civil penalty per day effective 9/7/2021. State employees and staff of all childcare facilities and preK-12 schools statewide must have received at least one dose of a COVID-19 vaccine effective 9/27/21.  Date for the full vaccination of staff in long-term facilities was extended to 9/27",Unvaccinated People Only,Yes,Reopened,CT
DC,District of Columbia,142.4,2022-04-07,2022-04-07,705749,73.2,Yes,"City employees, including school personnel, must be vaccinated against COVID-19 or undergo regular testing effective 9/19/2021. All healthcare workers must be vaccinated against COVID-19 effective 9/30/21 (exemptions granted for medical or religious reasons but unvaccinated individuals must undergo regular testing)",No,Yes,Reopened,DC
DE,Delaware,59.6,2022-04-07,2022-04-07,973764,68.5,Yes,Staff in long-term care and other health care facilities are required to provide proof of COVID-19 vaccination or undergo regular testing. State employees required to provide proof of COVID-19 vaccination or undergo regular testing effective 9/30/21,No,Yes,Reopened,DE
FL,Florida,50.1,2022-04-07,2022-04-07,21477737,66.6,Prohibited,State and local governments are prohibited from requiring individuals to provide documentation of COVID-19 vaccination to gain access to government services or facilities. An educational institution may not require students or residents to provide documentation of COVID-19 vaccination for attendance or enrollment. Businesses are prohibited from requiring customers to provide documentation of COVID-19 vaccination.,No,No,Reopened,FL
GA,Georgia,31.4,2022-04-07,2022-04-07,10617423,54.3,No,NA,No,Yes,Reopened,GA
HI,Hawaii,80.4,2022-04-07,2022-04-07,1415872,77.9,Yes,"State and county employees must be vaccinated against COVID-19 or they will be subject to testing at least once per week effective 8/16/2021. Unvaccinated employees may be restricted from work-related travel. In addition, state contractors must be vaccinated or submit to regular testing and all visitors to state facilities must show proof of vaccination or a negative COVID-19 test to enter the facility effective 9/13/21.",Indoor Only,Yes,Imposing New Restrictions,HI
IA,Iowa,32.1,2022-04-07,2022-04-07,3155070,61.6,No,NA,No,Yes,Reopened,IA
ID,Idaho,33.2,2022-04-07,2022-04-07,1787065,53.7,Prohibited,State is prohibited from requiring individuals to show proof of COVID-19 vaccination to access state services or facilities and is prohibited from issuing a vaccine passport,No,Yes,Reopened,ID
IL,Illinois,78.8,2022-04-07,2022-04-07,12671821,68.4,Yes,State employees working in congregate care facilities must be vaccinated against COVID-19 effective 10/4/2021.  All health care workers and pre-K-12 school personnel must get vaccinated by 9/19/21 or submit to regular testing,Indoor Only,Yes,Reopened,IL
IN,Indiana,17.8,2022-04-07,2022-04-07,6732219,54.6,No,NA,No,Yes,Reopened,IN
KS,Kansas,6.6,2022-04-07,2022-04-07,2913314,60.9,No,NA,No,No,Reopened,KS
KY,Kentucky,76,2022-04-07,2022-04-07,4467673,57.1,No,NA,No,Yes,Reopened,KY
LA,Louisiana,17.1,2022-04-07,2022-04-07,4648794,53.3,No,NA,No,Yes,Reopened,LA
MA,Massachusetts,130.5,2022-04-07,2022-04-07,6892503,78.4,Yes,Long-term care facility personnel must be vaccinated against COVID-19 effective 10/10/2021.  State executive branch employees must be be vaccinated against COVID-19 effective 10/17/21,No,No,Reopened,MA
MD,Maryland,46.2,2022-04-07,2022-04-07,6045680,75.1,Yes,State employees in congregate care settings and employees of nursing homes and hospitals are required to provide proof of COVID-19 vaccination or they will be subject to strict masking policies and mandatory COVID-19 testing effective 9/1/2021.,No,No,Reopened,MD
ME,Maine,106.2,2022-04-07,2022-04-07,1344212,79,Yes,"All health care workers, EMS personnel, and dentists must be vaccinated by 10/29/21 or will be excluded from the workplace for the duration of the Department's declared public health emergency",No,No,Reopened,ME
MI,Michigan,57.5,2022-04-07,2022-04-07,9986857,59.8,No,NA,No,No,Reopened,MI
MN,Minnesota,52.3,2022-04-07,2022-04-07,5639632,68.8,Yes,State agency employees working in person will be required to show proof of vaccination and attest to their vaccination status effective 9/8/21,No,No,Reopened,MN
MO,Missouri,9.5,2022-04-07,2022-04-07,6137428,55.7,No,NA,No,No,Reopened,MO
MS,Mississippi,33,2022-04-07,2022-04-07,2976149,51.5,No,NA,No,Yes,Reopened,MS
MT,Montana,23.7,2022-04-07,2022-04-07,1068778,56.5,Prohibited,"Businesses, governmental entities, and places of public accommodation may not refuse to serve or withhold goods from any person based on vaccination status.",No,No,Reopened,MT
NC,North Carolina,31.5,2022-04-07,2022-04-07,10488084,60.2,Yes,State employees must provide proof of vaccination or undergo testing on a weekly basis and wear a mask while at work effective 9/1/2021.,No,Yes,Reopened,NC
ND,North Dakota,31.5,2022-04-07,2022-04-07,762062,54.7,No,NA,No,No,Reopened,ND
NE,Nebraska,13.1,2022-04-07,2022-04-07,1934408,63.2,No,NA,No,No,Reopened,NE
NH,New Hampshire,65.1,2022-04-07,2022-04-07,1359711,69.6,Prohibited,No person may be compelled to receive an immunization for COVID-19 in order to access public goods or facilities.,No,No,Reopened,NH
NJ,New Jersey,110.1,2022-04-07,2022-04-07,8882190,75.1,Yes,Employees of healthcare facilities must be vaccinated against COVID-19 or undergo COVID-19 testing at least once per week effective 9/7/2021. State employees and pre-K-12 school personnel must be fully vaccinated against COVID-19 or be subject to COVID-19 testing at minimum one to two times per week effective 10/18/2021.,No,No,Reopened,NJ
NM,New Mexico,45.9,2022-04-07,2022-04-07,2096829,70.5,Yes,State employees must provide proof of vaccination or undergo testing on a weekly basis and wear a mask while at work effective 8/2/2021. School employees must submit proof of vaccination or undergo weekly COVID-19 testing and wear a mask effective 8/23/2021. All hospital employees and employees of congregate care facilities must submit proof of vaccination or qualify for an exemption effective 8/30/2021. COVID-19 vaccination is required for all people attending the NM state fair unless they qualify for an exemption.,Indoor Only,Yes,Reopened,NM
